date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:58	61175/61175	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2013:41:56%20GMT	https://satumomen.com/preview/bugis-minang	C:/My%20Web%20Sites/Wedding/satumomen.com/preview/bugis-minang.html	(from )
20:41:58	83/83	---MCZ	200	added ('OK')	text/plain	etag:W/%2264739ad7-43%22	https://satumomen.com/robots.txt		(from )
20:41:59	172573/172573	---M--	200	added ('OK')	image/jpeg	etag:%2265bbd7d7-2a225%22	https://satumomen.com/themes/bugis-minang/bugis-minang.jpg	C:/My%20Web%20Sites/Wedding/satumomen.com/themes/bugis-minang/bugis-minang.jpg	(from https://satumomen.com/preview/bugis-minang)
20:41:59	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%2264aaefd9-11846%22	https://satumomen.com/plugins/animate.css@4.1.1/animate.min.css	C:/My%20Web%20Sites/Wedding/satumomen.com/plugins/animate.css@4.1.1/animate.min.css	(from https://satumomen.com/preview/bugis-minang)
20:41:59	70315/70315	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2012:48:13%20GMT	https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css	C:/My%20Web%20Sites/Wedding/unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css	(from https://satumomen.com/preview/bugis-minang)
20:41:59	146856/146856	---MCZ	200	added ('OK')	text/css	etag:W/%22bb47241413ae2729ec621f61520c5083%22	https://assets.satumomen.com/build/assets/bootstrap-vCaDZZbr.css	C:/My%20Web%20Sites/Wedding/assets.satumomen.com/build/assets/bootstrap-vCaDZZbr.css	(from https://satumomen.com/preview/bugis-minang)
20:42:00	7314/7314	---MCZ	200	added ('OK')	text/css	etag:W/%22248b3218cf4e1bde0b2cd25357dac337%22	https://assets.satumomen.com/build/assets/themesv2-DZZF_N8v.css	C:/My%20Web%20Sites/Wedding/assets.satumomen.com/build/assets/themesv2-DZZF_N8v.css	(from https://satumomen.com/preview/bugis-minang)
20:42:00	409/409	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad6-199%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.css	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/brittany_signature/BrittanySignature.css	(from https://satumomen.com/preview/bugis-minang)
20:42:00	161/161	---MCZ	200	added ('OK')	text/css	etag:W/%226494fa0e-a1%22	https://satumomen.com/fonts/photograph_signature/fonts.css	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/photograph_signature/fonts.css	(from https://satumomen.com/preview/bugis-minang)
20:42:00	371/371	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad6-173%22	https://satumomen.com/fonts/heatwood/Heatwood.css	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/heatwood/Heatwood.css	(from https://satumomen.com/preview/bugis-minang)
20:42:01	104544/104544	---M--	200	added ('OK')	image/jpeg	etag:%2265bb90ca-19868%22	https://satumomen.com/themes/bugis-minang/bg.jpg	C:/My%20Web%20Sites/Wedding/satumomen.com/themes/bugis-minang/bg.jpg	(from https://satumomen.com/preview/bugis-minang)
20:42:01	167369/167369	---M--	200	added ('OK')	image/png	etag:%22f04d5ed12e5395296f2eb39989018901%22	https://assets.satumomen.com/images/galleries/232929-gallery-J6OV72cdBT.png	C:/My%20Web%20Sites/Wedding/assets.satumomen.com/images/galleries/232929-gallery-J6OV72cdBT.png	(from https://satumomen.com/preview/bugis-minang)
